sale_id,location_id,name,street,city,state,zip
5763728874,12573,Acme Gourmet Meals,3000 Telegraph Ave,Berkeley,CA,94705
5763729036,12573,Acme Gourmet Meals,3000 Telegraph Ave,Berkeley,CA,94705
5763728904,12573,Acme Gourmet Meals,3000 Telegraph Ave,Berkeley,CA,94705
5763728973,12573,Acme Gourmet Meals,3000 Telegraph Ave,Berkeley,CA,94705
5763728757,12573,Acme Gourmet Meals,3000 Telegraph Ave,Berkeley,CA,94705
5763729051,12573,Acme Gourmet Meals,3000 Telegraph Ave,Berkeley,CA,94705
5763729153,12573,Acme Gourmet Meals,3000 Telegraph Ave,Berkeley,CA,94705
5763728608,12573,Acme Gourmet Meals,3000 Telegraph Ave,Berkeley,CA,94705
5763728696,12573,Acme Gourmet Meals,3000 Telegraph Ave,Berkeley,CA,94705
5763728768,12573,Acme Gourmet Meals,3000 Telegraph Ave,Berkeley,CA,94705
5763728685,12573,Acme Gourmet Meals,3000 Telegraph Ave,Berkeley,CA,94705
5763728787,12573,Acme Gourmet Meals,3000 Telegraph Ave,Berkeley,CA,94705
5763729233,12573,Acme Gourmet Meals,3000 Telegraph Ave,Berkeley,CA,94705
5763729081,12573,Acme Gourmet Meals,3000 Telegraph Ave,Berkeley,CA,94705
5763728425,12573,Acme Gourmet Meals,3000 Telegraph Ave,Berkeley,CA,94705
5763728579,12573,Acme Gourmet Meals,3000 Telegraph Ave,Berkeley,CA,94705
5763728832,12573,Acme Gourmet Meals,3000 Telegraph Ave,Berkeley,CA,94705
5763728420,12573,Acme Gourmet Meals,3000 Telegraph Ave,Berkeley,CA,94705
5763728543,12573,Acme Gourmet Meals,3000 Telegraph Ave,Berkeley,CA,94705
5763728877,12573,Acme Gourmet Meals,3000 Telegraph Ave,Berkeley,CA,94705
5763728494,12573,Acme Gourmet Meals,3000 Telegraph Ave,Berkeley,CA,94705
5763729291,12573,Acme Gourmet Meals,3000 Telegraph Ave,Berkeley,CA,94705
